name,Prefectoral capital
hokkaido,sapporo
aomori,aomori
iwate,morioka
miyagi,sendai
akita,akita
yamagata,yamagata
fukushima,fukushima
ibaraki,mito
tochigi,utsunomiya
gunma,maebashi
saitama,saitama
chiba,chiba
tokyo,shinjuku
kanagawa,yokohama
niigata,niigata
toyama,toyama
ishikawa,kanazawa
fukui,fukui
yamanashi,kofu
nagano,nagano
gifu,gifu
shizuoka,shizuoka
aichi,nagoya
mie,tsu
shiga,otsu
kyoto,kyouto
osaka,osaka
hyogo,koube
nara,nara
wakayama,wakayama
tottori,tottori
shimane,matsue
okayama,okayama
hiroshima,hiroshima
yamaguchi,yamaguchi
tokushima,tokushima
kagawa,takamatsu
ehime,matsuyama
kochi,kochi
fukuoka,fukuoka
saga,saga
nagasaki,nagasaki
kumamoto,kumamoto
oita,oita
miyazaki,miyazaki
kagoshima,kagoshima
okinawa,naha
